location	product_ean	code	store_name
Europe/London	3720859864994	GB	Westbury
Africa/Kampala	3768440626163	UG	Kitgum
America/Puerto_Rico	8517466946473	PR	Yauco
America/Los_Angeles	4998941194390	US	Riverbank
Europe/Madrid	6612277715163	ES	Leioa
Africa/Dar_es_Salaam	9042500256007	TZ	Iringa
Europe/Brussels	3324820311526	BE	Mouscron
Europe/Rome	6781259419334	IT	Ariccia
Europe/London	8569049191787	GB	Surbiton
Africa/Algiers	4559823899392	DZ	Messaad
America/Los_Angeles	0556763408510	US	Camarillo
Europe/Madrid	2208674101681	ES	Cardedeu
America/New_York	8449967592838	US	Rosedale
Asia/Manila	4476683347309	PH	Guyong
America/Indiana/Indianapolis	7041811845346	US	Granger
Asia/Karachi	0013898908945	PK	Hasilpur
America/Los_Angeles	3436866368591	US	Porterville
Europe/Moscow	8562046921968	RU	Danilov
Africa/Lagos	0308218122638	NG	Lagos
Africa/Lagos	2341347684866	NG	Lagos
Africa/Casablanca	3788697583040	MA	Jerada
Asia/Yekaterinburg	8965138652960	RU	Kachkanar
Europe/London	8685451179905	GB	Chapletown
Asia/Kolkata	3083317738795	IN	Osmanabad
America/Los_Angeles	0489049887887	US	Redding
America/Caracas	3116198427578	VE	Barinas
Europe/London	1465805895043	GB	Newbury
Africa/Lagos	6010034198714	NG	Nkpor
Asia/Vladivostok	6671189361554	RU	Lesozavodsk
Asia/Tokyo	3105200450277	JP	Gero
Europe/Berlin	3214609813597	DE	Wesseling
Europe/Berlin	7945886676402	DE	Hechingen
America/Los_Angeles	8051737113381	US	Bothell West
Asia/Shanghai	5270660005676	CN	Jiangyan
America/New_York	9694206070229	US	Lakewood
America/New_York	4484013517094	US	New Canaan
Europe/Rome	0436746840455	IT	Volla
Asia/Kolkata	4991500332851	IN	Barbil
America/Argentina/Buenos_Aires	8130221264799	AR	Chacabuco
Asia/Karachi	6076662726675	PK	Kanganpur
Europe/Madrid	6293348173541	ES	Puertollano
America/Havana	6161910036481	CU	Varadero
Europe/London	6646766863769	GB	Selby
America/Guayaquil	3520377630251	EC	Cuenca
Africa/Algiers	5584999302376	DZ	El Achir
America/Los_Angeles	9263413202985	US	Norco
America/Chicago	2088772786412	US	Ada
Asia/Manila	9621911937653	PH	Santa Catalina
Asia/Kolkata	8118912257428	IN	Dharmapuri
America/New_York	2616516708316	US	Punta Gorda Isles
Asia/Shanghai	4196837840998	CN	Dongfeng
America/Edmonton	1441082313555	CA	Sherwood Park
Europe/Rome	4813652009514	IT	Lanciano
Asia/Kolkata	4936622605841	IN	Kheda
America/Panama	7947908951481	PA	Veracruz
Asia/Qyzylorda	6920461914774	KZ	Kyzylorda
