pct_click_product_info	user_id	screen_height	pct_scroll_move_duration	scroll_move_total_rel_distance	pct_click	pct_scrandom	pct_wild_mouse	session_id	browser_name	pct_input	screen_width	mouse_move_total_rel_distance	pct_mouse_click	wild_mouse_duration	pct_mouse_move	pct_doubleclick	pct_rage_click	ack	page_activity_duration	total_load_time	pct_scroll_move	product_ean	session_duration	session_start
56.64571	1640	768	14.99931	12.24779	17.20555	54.34018	48.34998	584236	firefox	0.00005	lower		13.17135	7.73819	12.52586	14.53199	81.30964	0.00000	16.04110	2.32859	53.91255	4962305546750	169.78137	2021-03-10 20:17:04
47.99417	51	768	15.53004	10.50154	11.42197	46.04131	38.57450	339042	edge	0.11389	1024	11.88716	14.08943	16.13801	12.74767	16.06303	36.32940	0.00000	11.20641	4.41932	64.32550	3020557540436	95.38496	2019-06-29 22:31:00
28.18103	727	768	15.36093	15.58443	13.78391	62.94280	65.62204	932815	chrome	0.00118	1366	10.02385	13.22143	11.55925	12.40496	9.92605	59.88394	1.00000	12.72161	7.29487	39.54647	6862278229248	26.24165	2020-12-15 08:19:52
45.33204	1261	1080	13.36940	10.10834	14.99478	63.04855	44.77450	131039	mobile	0.00046	1280	10.25651	16.00948	10.58877	12.30561	15.14292	46.12133	0.00000	13.90481	4.66647	22.45088	1219722514576	213.58445	2023-06-30 19:24:10
44.75151	1235	1080	15.22317	11.23685	15.61785	41.69365	43.56912	270239	edge	0.00029	lower	11.34497	14.69772	10.13120	14.44004	15.26460	52.30931	0.00000	14.42338	3.13091	45.10056	7031846119031	95.89200	2020-04-20 04:49:03
40.42171	2156	1080	13.41920	16.07837	11.70138	59.40938	34.34609	816340	chrome	0.32394	1920	10.91960	12.85983	17.18331	14.20052	13.68896	56.00827	0.00000	13.65253	2.57821	56.37106	4018070555340	201.79828	2023-08-10 03:12:48
59.73173	1166	lower	15.88514	15.77012	11.71451	41.04500	39.88176	606588	edge	0.06016	1920	11.34013	13.54496	15.49983	13.03499	15.39777	64.17290	1.00000	16.03018	2.80630	47.93542	0675400831730	169.35920	2021-03-26 02:59:59
61.40253	112	1080	15.13145	15.44118	11.91515	46.55056	54.89617	1299087	chrome	0.00091	1024	11.64754	13.79704	11.29087	12.21123	11.14065	53.91850	1.00000	15.86203	0.86890	48.34594	7410579567553	94.01779	2020-12-03 04:49:46
61.11456	2035	1080	15.24759	13.11914	12.49480	41.87143	54.18268	247862	edge	0.02015	lower	14.20423	14.79873	14.40535	12.86178	15.97996	48.03073	1.00000	14.97842	1.79753	46.98723	7340395852253	65.69448	2018-11-17 16:24:35
49.53136	1062	800	14.69690	15.37343	9.63744	66.74278	47.27843	100844	firefox	0.09232	lower	10.79942	14.54469	15.92797	13.99746	15.59044	64.77000	1.00000	17.52590	2.99714	44.69901	1258103645881	197.85640	2022-12-20 16:40:55
